Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
SFE,"Safeguard Scientifics, Inc.",Financial,Asset Management,USA,407.36,18.27,,,,1.45,2.13,,,0.00%,1.09,11.70%,-503.90%,4.50%,,,73.70%,,20.46,20.17,0.10%,95.60%,81.30%,-2.33%,7.55%,23.48,8.30%,10.00%,,38.6,38.6,0.18,0.18,,,,-0.99%,0.61%,5.01%,-3.68%,34.98%,-0.90%,1.41,0.4,2.23%,1.84%,0.02%,0.10%,1.16%,-5.55%,4.64%,-10.99%,37.70%,50.78,-0.02%,0.30%,2,64.9,0.45,19.97,0.28%,17064,7/24/2014 8:30
SFG,StanCorp Financial Group Inc.,Financial,Accident & Health Insurance,USA,2814.87,13.48,12,2.11,1,1.26,11.84,13.3,1.68%,22.40%,4.87,64.40%,14.06%,9.50%,6.40%,1.40%,-26.20%,-2.20%,42.89,42.53,0.30%,17.32%,79.00%,-4.06%,3.24%,7.39,1.00%,9.90%,8.40%,,,0.22,0.22,,17.60%,7.70%,0.09%,7.22%,4.34%,-3.40%,25.99%,-0.94%,1.13,0.89,1.35%,1.33%,2.65%,3.88%,2.55%,-1.48%,10.45%,-5.80%,26.33%,64.16,-0.64%,0.41%,3.2,186.33,0.37,65.47,-0.24%,40681,7/23/2014 16:30
SFK,ProShares UltraShort Russell1000 Growth,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.87%,-11.28%,-11.63%,-13.83%,-40.17%,-22.69%,,0.2,0.40%,0.20%,-6.69%,-6.77%,-16.72%,-13.97%,0.22%,-40.04%,0.22%,18.69,-0.27%,0.49%,,1.38,1.72,22.54,0.22%,1400,
SFL,Ship Finance International Limited,Services,Shipping,Bermuda,1844.15,19.19,12.82,,6.39,1.54,18.88,,8.30%,110.30%,1.03,-55.40%,29.80%,-16.90%,-7.70%,-10.00%,21.20%,27.00%,93.28,59.05,40.06%,,35.70%,6.36%,9.33%,12.51,3.20%,8.20%,4.00%,0.4,0.4,1.05,1.43,61.50%,38.20%,33.80%,1.28%,7.68%,7.68%,8.27%,40.61%,26.00%,1.17,0.3,1.86%,1.53%,3.00%,5.79%,14.24%,-0.95%,11.48%,-0.95%,41.41%,71.07,-0.45%,0.15%,2.5,440.7,0.85,19.71,-0.30%,220220,8/28/2014
SFLY,"Shutterfly, Inc.",Services,Personal Services,USA,1907.44,,113.12,,2.3,2.62,6.8,41.02,,,-0.9,-60.70%,358.80%,11.40%,17.50%,29.70%,-125.80%,19.20%,38.41,37.94,1.70%,-7.51%,,-5.76%,11.00%,5.17,-2.40%,-3.70%,1.80%,4.2,4.1,0.34,0.34,52.30%,0.60%,-3.40%,-2.47%,2.06%,25.06%,-7.83%,-6.79%,-2.49%,1.43,1.36,2.11%,2.82%,0.13%,3.49%,8.14%,-9.42%,18.65%,-15.64%,36.72%,51.43,-0.58%,0.52%,2.1,806.78,0.52,49.63,-0.06%,247775,7/30/2014 16:30
SFM,"Sprouts Farmers Market, Inc.",Services,Grocery Stores,USA,4630.19,54.18,35.08,2.14,1.71,7.42,25.12,,,0.00%,0.56,131.30%,27.58%,43.90%,25.27%,40.80%,100.00%,19.50%,152.61,137.14,0.30%,-97.99%,76.10%,6.03%,11.79%,11.83,6.80%,15.50%,9.30%,1.5,0.9,0.69,0.71,30.00%,6.50%,3.10%,-1.11%,-1.49%,9.89%,-22.68%,-17.44%,-21.05%,,0.81,2.02%,2.58%,1.45%,-0.80%,-8.67%,-6.63%,6.46%,-37.35%,20.40%,52.42,1.67%,0.43%,2.5,1367.02,0.54,30.98,2.11%,433154,8/7/2014 16:30
SFN,Stifel Financial Corp.,Services,Staffing & Outsourcing Services,USA,1692.03,9.98,,0.67,0.79,0.78,,,,,2.58,,,-9.99%,15.00%,,48.10%,13.50%,65.71,62.43,8.54%,-2.56%,92.20%,-8.99%,0.00%,0.16,,,,,,,,,,,-0.12%,0.12%,0.59%,2.26%,6.94%,5.75%,,0.11,0.41%,0.44%,0.55%,0.55%,2.55%,-0.64%,1.33%,-2.74%,8.51%,63.81,0.42%,0.19%,,8.11,0.46,25.91,0.62%,2200,
SFNC,Simmons First National Corporation,Financial,Money Center Banks,USA,666.51,26.66,12.92,5.33,4.01,1.61,1.55,,2.16%,55.80%,1.53,-13.40%,37.68%,-5.80%,5.00%,-1.70%,52.50%,34.40%,16.34,15.81,2.00%,6.17%,53.80%,0.34%,2.33%,6.47,0.60%,6.10%,25.00%,,,0.16,0.16,,28.60%,15.00%,-0.95%,3.58%,0.47%,12.65%,72.18%,11.02%,0.74,0.9,1.78%,2.29%,3.79%,4.12%,10.14%,-0.34%,10.04%,-4.41%,74.90%,60.51,0.69%,0.07%,1.7,57.08,0.25,41.1,0.76%,8468,7/17/2014 8:30
SFST,"Southern First Bancshares, Inc.",Financial,Money Center Banks,USA,67.62,13.59,10.5,1.7,1.8,1.14,1.4,,,0.00%,1.03,53.10%,28.17%,17.40%,8.00%,-2.10%,4.00%,10.10%,4.83,4.04,2.30%,-5.93%,41.40%,1.37%,0.13%,0.99,0.50%,9.30%,35.40%,,,0.25,0.25,,33.20%,12.80%,-1.34%,0.00%,5.98%,3.55%,5.26%,5.42%,0.5,0.12,0.00%,0.66%,0.30%,1.16%,3.45%,-1.34%,4.24%,-2.03%,9.29%,53.82,-0.36%,0.36%,2,5.26,1.25,14,0.00%,3889,1/21/2013
SFUN,SouFun Holdings Ltd.,Technology,Internet Information Providers,China,5016.2,16.77,14.52,1.35,7.51,10.46,5.32,65.49,1.63%,25.30%,0.73,91.90%,26.01%,63.90%,12.40%,43.70%,28.60%,33.20%,409.82,8063.21,0.37%,,51.40%,-1.10%,0.24%,2.53,23.70%,81.50%,26.40%,2.6,2.6,1.21,1.21,83.90%,54.30%,46.70%,2.00%,9.87%,10.57%,-33.62%,32.04%,-24.49%,2.12,0.55,4.16%,5.17%,5.66%,12.81%,-6.97%,-2.03%,39.93%,-37.19%,47.09%,60.69,0.57%,0.08%,1.9,7501.94,0.74,12.32,0.65%,3294100,8/7/2014 8:30
SFXE,SFX Entertainment Inc.,Services,General Entertainment,USA,611.36,,,,3.16,2.15,5.75,,,,-2.04,-293.20%,84.70%,0.00%,,,-97.30%,226.50%,89.25,50.04,40.10%,-9.49%,37.20%,31.34%,21.90%,18.52,-39.40%,-119.00%,-31.90%,1.3,1.3,0,0.04,19.80%,-62.30%,-90.70%,-2.56%,-3.25%,-1.86%,-21.17%,,-42.92%,,0.28,2.93%,4.45%,-0.07%,-2.78%,-15.93%,-20.37%,7.50%,-48.62%,27.17%,47.34,0.00%,0.44%,1.3,591.85,0.14,6.88,0.44%,47735,8/14/2014 8:30
SFY,Swift Energy Co.,Basic Materials,Independent Oil & Gas,USA,489.37,,,,0.82,0.46,815.61,,,,-0.46,-191.70%,-180.60%,44.50%,5.00%,-6.50%,-43.80%,-46.10%,43.85,42.6,1.70%,18.05%,,0.61%,37.76%,12.93,-0.70%,-1.90%,2.30%,0.5,0.5,1.12,1.12,80.40%,27.40%,-3.30%,-2.02%,-3.13%,2.76%,14.46%,1.45%,-17.33%,1.72,0.38,1.70%,3.51%,-3.54%,-7.93%,-7.64%,-16.46%,1.95%,-27.61%,24.55%,40.29,-1.79%,0.00%,2.8,1244.03,1.62,10.96,-1.79%,1188537,7/31/2014 8:30
SGA,Saga Communications Inc.,Services,Broadcasting - Radio,USA,215.97,14.73,13.46,7.36,1.66,1.82,8.34,18.94,2.13%,77.20%,2.55,-17.60%,-3.13%,17.60%,2.00%,-1.50%,-2.40%,0.00%,5.75,4.88,0.92%,-8.64%,93.00%,-0.41%,1.45%,6.84,7.40%,12.90%,10.50%,2.9,2.9,0.35,0.39,27.80%,21.20%,11.30%,-3.17%,5.15%,-9.03%,-29.33%,-21.73%,-24.94%,1.68,0.92,2.05%,2.47%,0.25%,-1.32%,-15.90%,-13.80%,6.16%,-31.16%,6.16%,48.1,0.31%,-0.03%,3,10.31,0.27,37.67,0.28%,1658,5/6/2014
SGAR,iPath Pure Beta Sugar ETN,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09%,-6.41%,-11.31%,-13.89%,-7.11%,-6.98%,,0.23,0.19%,0.22%,-2.24%,-6.51%,-9.51%,-13.99%,-0.03%,-21.43%,5.50%,30.26,0.00%,-1.09%,,1.08,0.16,31.65,-1.09%,100,
SGB,Southwest Georgia Financial Corp.,Financial,Regional - Mid-Atlantic Banks,USA,35.7,11.57,,,2.43,1.07,1.97,22.31,2.29%,23.00%,1.21,43.40%,,33.10%,,-0.80%,26.10%,2.80%,2.55,1.89,10.10%,6.62%,1.50%,8.51%,0.08%,0.44,0.80%,9.70%,24.70%,,,0.52,0.52,,30.60%,21.10%,-3.45%,0.50%,0.43%,14.75%,41.41%,22.38%,0.08,0.35,1.71%,1.84%,-6.87%,-6.33%,3.98%,-12.85%,-0.37%,-18.23%,48.05%,37.93,-2.88%,-0.71%,,3.44,0.2,13.5,-3.57%,399,1/27/2014
SGBK,Stonegate Bank,Financial,Regional - Southeast Banks,USA,275.3,25.95,13.84,,5.65,1.54,,,0.59%,,1.04,16.80%,47.70%,0.00%,,,-15.90%,61.40%,10.2,7.97,,,,,3.00%,4.16,,,,,,,,,,,-0.37%,13.50%,3.09%,15.89%,41.16%,17.96%,,0.82,2.21%,2.97%,4.55%,7.77%,12.95%,-0.88%,35.25%,-0.88%,40.37%,73.01,-0.07%,0.30%,1,57.45,0.13,27.05,0.22%,4362,
SGC,Superior Uniform Group Inc.,Consumer Goods,Textile - Apparel Clothing,USA,142.89,17.35,,,0.78,1.84,28.58,,2.79%,31.60%,1.24,87.80%,,21.30%,,4.10%,147.80%,72.20%,6.64,3.88,8.00%,7.92%,31.30%,2.01%,0.48%,1.1,6.30%,11.50%,6.20%,6.3,2.8,0.45,0.48,34.30%,7.00%,4.50%,-0.09%,7.76%,39.47%,31.62%,84.09%,42.42%,0.38,0.71,2.53%,3.31%,-0.93%,10.38%,30.34%,-5.62%,44.23%,-5.62%,91.63%,58.19,-0.41%,1.02%,1,16.78,1,21.65,0.60%,9960,2/24/2014
SGDM,Sprott Gold Miners ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.78%,-2.55%,,,,-3.03%,,0.57,2.16%,2.01%,-5.12%,-5.52%,-5.52%,-9.87%,-1.06%,-9.87%,-1.06%,,-2.91%,1.60%,,56.93,1.2,23.39,-1.35%,40363,
SGEN,Seattle Genetics Inc.,Healthcare,Biotechnology,USA,5287.36,,,,19.23,23.4,15.14,,,,-0.6,-10.90%,22.50%,14.10%,7.80%,50.20%,-133.30%,-7.20%,123.45,118.5,1.10%,-33.57%,,-0.19%,14.39%,17.29,-15.40%,-31.80%,-27.30%,4.1,3.8,0,0,90.80%,-26.70%,-26.70%,-2.86%,16.58%,17.63%,-19.75%,0.75%,7.37%,1.4,1.43,3.24%,3.53%,0.60%,9.39%,2.07%,-5.67%,26.00%,-24.27%,31.07%,58.08,-1.35%,0.35%,2.4,985.99,0.51,42.4,-1.00%,298706,7/31/2014 16:30
SGF,"Aberdeen Singapore Fund, Inc. C",Financial,Closed-End Fund - Foreign,USA,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,0.30%,1.07%,2.71%,12.36%,13.42%,7.62%,,0.08,0.56%,0.53%,0.97%,0.88%,5.98%,-1.13%,3.18%,-1.13%,16.52%,57.53,-0.01%,0.00%,,12.89,1.18,13.27,-0.01%,8963,
SGG,iPath DJ-UBS Sugar SubTR ETN,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.99%,-4.24%,-12.96%,-22.80%,-18.18%,-15.30%,,0.91,1.59%,1.59%,-4.64%,-10.08%,-16.36%,-20.41%,-1.17%,-31.66%,-1.17%,35.06,-1.94%,-1.45%,,15.76,4.23,45.42,-3.36%,39345,
SGI,Silicon Graphics International Corp.,Technology,Diversified Computer Systems,USA,333.5,,18.31,,0.63,4.04,3.05,,,,-1.54,130.80%,339.17%,-26.30%,13.00%,38.80%,-130.80%,-16.70%,34.56,34.29,0.40%,23.16%,90.40%,-4.37%,10.25%,13.08,-13.90%,-51.20%,-66.80%,1.3,1,0,0,26.10%,-11.00%,-10.00%,-0.92%,7.46%,15.02%,-25.02%,-33.72%,-28.04%,2.38,0.31,2.24%,3.06%,1.23%,1.10%,-15.42%,-6.82%,10.69%,-43.25%,15.44%,50.09,-2.79%,0.41%,2.7,268.66,0.82,9.42,-2.38%,130753,8/6/2014 16:30
SGL,"Strategic Global Income Fund, I",Financial,Closed-End Fund - Debt,USA,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,0.28,,,,,,,,,,,0.00%,0.55%,5.57%,6.82%,12.36%,9.78%,,0.06,0.62%,0.53%,0.47%,1.51%,6.18%,-1.34%,4.62%,-1.34%,14.42%,59.37,0.40%,-0.11%,,27.33,0.71,9.12,0.29%,11447,
SGM,Stonegate Mortgage Corporation,Financial,Closed-End Fund - Debt,USA,365.93,10.68,5.39,0.16,1.87,1.22,20.44,,,0.00%,1.33,-41.60%,76.31%,0.00%,65.00%,,-181.60%,21.20%,25.77,46.56,4.10%,15.15%,78.90%,5.84%,4.56%,24.67,1.70%,6.10%,4.20%,,,0,2.52,,15.60%,7.50%,-0.98%,10.94%,-3.60%,-2.00%,,-14.10%,,0.43,2.82%,3.31%,-2.00%,1.70%,-4.75%,-8.79%,12.72%,-26.08%,18.54%,47.5,-1.27%,-0.14%,2.1,86,0.13,14,-1.41%,6823,8/7/2014 8:30
SGMA,SigmaTron International Inc.,Technology,Printed Circuit Boards,USA,43.64,15.04,,,0.2,0.78,8.08,,,0.00%,0.72,500.00%,,7.10%,,10.70%,37.50%,8.40%,4.03,3.6,1.90%,-22.32%,32.30%,0.08%,0.48%,0.92,3.20%,7.20%,4.40%,2.2,0.8,0.48,0.53,10.20%,1.60%,1.80%,-3.13%,-3.13%,5.76%,-4.58%,151.28%,21.96%,1.04,0.23,2.19%,1.90%,-5.07%,-6.38%,5.97%,-14.48%,4.12%,-17.72%,149.54%,32.31,-1.84%,0.00%,,19.05,0.85,10.63,-1.84%,9585,12/11/2012
SGMO,Sangamo Biosciences Inc.,Healthcare,Biotechnology,USA,880.07,,,,28.3,4.1,4.54,,,,-0.47,-14.30%,-42.30%,4.40%,,8.30%,0.00%,50.70%,68.17,66.05,1.40%,-8.27%,76.10%,1.76%,14.19%,11.52,-14.60%,-17.00%,-21.90%,12.1,12.1,0,0,,-92.90%,-92.60%,-12.77%,0.23%,-1.75%,-34.17%,23.30%,-7.06%,2.01,0.74,5.45%,5.34%,-7.30%,-6.09%,-16.20%,-22.97%,9.06%,-47.83%,44.23%,42.6,-0.85%,0.62%,1.8,813.3,1.32,12.88,-0.23%,631990,7/23/2014 16:30
SGMS,Scientific Games Corporation,Services,Gaming Activities,USA,840.57,,,,0.58,3.71,9.42,102.51,,,-1.4,38.80%,49.70%,-43.10%,0.00%,-0.50%,-473.30%,77.40%,84.65,49.54,1.60%,,61.20%,6.01%,16.04%,5.27,-3.90%,-46.80%,2.60%,2.2,1.8,14.11,14.27,50.80%,-1.20%,-10.10%,-0.80%,11.70%,15.73%,-28.20%,-31.56%,-41.35%,1.72,0.47,3.85%,5.37%,29.03%,23.32%,-6.59%,0.17%,69.15%,-39.48%,69.15%,73.91,18.49%,0.20%,2.4,1509.41,3,11.79,18.73%,2678494,8/5/2014 16:30
SGNL,"Signal Genetics, Inc.",Healthcare,Medical Laboratories & Research,USA,17.66,,,,4.11,,176.61,,,,-0.72,59.10%,,,,,-11.10%,0.00%,3.79,0.82,,,2.50%,,0.34%,0.08,-97.60%,13.20%,0.90%,0.1,0.1,,,41.90%,-11.60%,-72.10%,3.33%,-8.45%,,,,-48.73%,,0.45,8.23%,8.45%,-5.77%,-20.23%,-23.05%,-50.28%,9.22%,-54.95%,9.22%,41.37,0.00%,-3.43%,,35.47,0.25,4.5,-3.43%,5258,
SGNT,"Sagent Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,USA,911.7,62.13,46.17,1.99,3.44,3.69,5.64,27.38,,0.00%,0.46,265.00%,139.00%,19.10%,31.20%,82.80%,-80.40%,16.10%,31.9,29.5,0.30%,-49.82%,73.80%,4.16%,6.12%,7.69,4.80%,6.10%,12.40%,4.6,3.7,0,0,29.70%,5.00%,5.50%,4.19%,19.18%,28.85%,28.62%,23.88%,12.61%,1.58,0.88,2.81%,3.20%,8.62%,9.44%,22.84%,-1.86%,19.92%,-1.86%,62.78%,71.01,-0.49%,0.10%,2.9,234.5,0.7,28.47,-0.38%,96293,7/30/2014 8:30
SGOC,"SGOCO Group, Ltd.",Consumer Goods,Electronic Equipment,China,55.92,6.41,,,0.28,0.62,4.14,39.95,,0.00%,0.49,96.00%,,57.90%,,,-61.10%,-30.30%,17.81,3.83,38.93%,,0.40%,-47.71%,0.44%,0.07,7.00%,10.10%,9.00%,6.2,5.8,0,0.08,8.00%,5.50%,4.20%,84.71%,85.80%,47.42%,-22.85%,2.95%,-7.37%,-0.54,0.32,29.05%,14.16%,85.94%,78.18%,18.62%,1.86%,158.27%,-60.62%,158.27%,71.48,-11.83%,18.47%,,237.23,41.5,3.28,4.46%,5815822,11/20/2013 16:30
SGOL,ETFS Physical Swiss Gold ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.95%,-1.46%,2.02%,-5.22%,-10.41%,5.24%,,0.97,0.39%,0.49%,-2.18%,-2.97%,-1.64%,-5.76%,0.31%,-9.65%,6.35%,35.17,-0.59%,0.24%,,30.67,0.77,124.13,-0.35%,13870,
SGRP,Spar Group Inc.,Services,Business Services,USA,28.78,8.24,,,0.24,1.75,6.12,,,0.00%,0.17,7.10%,,71.90%,,10.00%,400.00%,12.80%,20.56,6.54,22.40%,-0.43%,7.40%,-4.46%,0.09%,0.4,11.10%,25.00%,19.80%,2.2,2.2,0.36,0.4,24.60%,2.80%,3.20%,1.45%,-1.41%,-4.11%,-30.00%,-23.08%,-29.29%,-0.21,0.08,3.69%,4.71%,4.07%,2.13%,-16.44%,-12.50%,15.75%,-32.26%,15.75%,53.61,2.80%,2.14%,3,14.14,0.07,1.47,5.00%,568,3/31/2014
SGU,"Star Gas Partners, L.P.",Basic Materials,Oil & Gas Pipelines,USA,339.65,7.48,,,0.18,1.11,47.84,12.87,5.92%,40.90%,0.79,17.50%,,35.80%,,2.50%,-30.80%,24.40%,57.47,56.42,23.28%,0.01%,38.60%,0.21%,0.03%,0.24,6.50%,16.50%,12.00%,1.2,1,0.41,0.54,21.00%,5.30%,2.50%,1.20%,-0.84%,-2.48%,8.84%,32.21%,17.50%,0.14,0.16,1.34%,3.16%,-0.88%,-4.60%,0.52%,-10.43%,9.16%,-18.25%,31.40%,42.91,-0.85%,-0.34%,,66.1,0.54,5.84,-1.18%,21178,8/1/2014 16:30
SGY,Stone Energy Corp.,Basic Materials,Independent Oil & Gas,USA,1923.6,25.18,19.75,,2.08,1.47,5.76,,,0.00%,1.36,-22.10%,110.44%,15.60%,,3.80%,-89.70%,-15.80%,56.18,54.68,2.80%,25.84%,95.70%,6.17%,6.20%,4.59,2.00%,6.40%,7.30%,1.3,1.3,0.85,0.85,71.30%,18.40%,7.20%,-2.12%,-7.81%,-20.92%,-7.01%,23.52%,-1.01%,2.63,1.08,2.73%,3.08%,-1.24%,-12.23%,-10.86%,-27.80%,6.33%,-31.97%,23.42%,37.44,-0.92%,0.26%,1.9,739.14,1.16,34.01,-0.66%,507595,8/5/2014 16:30
SGYP,"Synergy Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Other,USA,363.05,,,,,9.34,7.09,,,,-0.82,-14.10%,33.00%,-6.60%,,,-154.50%,,94.79,85.64,0.50%,2.82%,30.80%,9.29%,18.63%,19.46,-102.60%,-131.10%,,3.1,3.1,0,0,,,,0.26%,6.09%,-7.49%,-40.25%,-14.32%,-30.99%,0.57,0.15,2.96%,3.95%,5.56%,2.36%,-15.43%,-9.56%,12.46%,-42.09%,14.45%,57.27,0.52%,0.78%,1.8,819.75,0.3,3.88,1.31%,144082,8/7/2014
SH,ProShares Short S&P500,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09%,-3.44%,-4.49%,-8.01%,-21.07%,-9.87%,,0.17,0.48%,0.63%,-1.94%,-2.28%,-7.70%,-5.32%,0.20%,-21.34%,0.20%,31.15,-0.11%,-0.13%,,3023.13,1.07,22.68,-0.24%,1909168,
SHBI,"Shore Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,112.86,,15.3,,2.81,0.72,0.84,6.17,,,-1.02,0.00%,18.18%,-23.20%,10.00%,-7.60%,400.00%,-10.40%,12.61,12.29,0.90%,16.41%,46.60%,116.66%,0.04%,0.59,-0.80%,-7.80%,13.20%,,,0,0,,-35.80%,-20.60%,1.02%,1.02%,-3.24%,-5.69%,7.83%,-2.93%,1.12,0.16,1.40%,1.63%,0.21%,-0.37%,-3.65%,-3.47%,3.37%,-15.16%,8.54%,49.7,-0.11%,-0.45%,2.5,8.37,0.87,8.9,-0.56%,4278,1/27/2014
SHEN,Shenandoah Telecommunications Co.,Technology,Telecom Services - Domestic,USA,653.86,21.52,17.16,0.88,2.06,2.6,9.07,,1.33%,28.10%,1.26,78.30%,17.04%,2.30%,24.40%,16.40%,6.10%,5.00%,24.11,22.61,2.20%,-0.56%,42.00%,0.67%,2.34%,8.02,5.10%,12.70%,7.60%,2.3,2.1,0.85,0.91,59.50%,18.30%,9.60%,-2.83%,-4.30%,-3.69%,-4.91%,54.53%,5.65%,1.62,0.77,2.56%,2.71%,-0.80%,-4.81%,0.23%,-11.93%,2.58%,-19.42%,63.57%,43.48,0.44%,0.55%,2,66.05,0.16,27.39,1.00%,6049,8/1/2014
SHG,Shinhan Financial Group Company Limited,Financial,Foreign Regional Banks,South Korea,24902.18,13.34,9.84,1.02,2.04,0.92,0.56,27.67,0.59%,16.40%,3.93,-18.50%,9.22%,5.30%,13.10%,-3.10%,16.80%,-6.10%,474.87,428.43,,,2.10%,-0.33%,0.05%,4.47,0.60%,6.90%,7.50%,,,1.32,1.32,,41.30%,15.10%,2.52%,6.03%,18.59%,26.42%,39.39%,14.75%,1.46,0.79,0.56%,0.76%,2.33%,7.80%,17.05%,-1.60%,18.77%,-1.60%,34.12%,60.34,-0.15%,-1.13%,1,47.3,0.71,51.77,-1.28%,19933,2/8/2011
SHI,Sinopec Shanghai Petrochemical Co. Ltd.,Basic Materials,Oil & Gas Refining & Marketing,China,5526.78,8.58,,0.49,0.22,1.24,206.22,4.71,2.03%,0.00%,4.02,302.00%,,20.10%,17.60%,12.20%,71.10%,-44.70%,160.15,53.43,,,0.80%,-6.22%,0.07%,2.85,7.20%,14.70%,7.10%,0.8,0.3,0.03,0.44,4.30%,1.80%,1.60%,3.20%,9.04%,40.17%,17.58%,51.96%,24.49%,0.72,0.76,1.76%,1.01%,4.12%,11.47%,25.52%,-1.03%,30.51%,-1.03%,56.75%,62,-0.23%,0.49%,2,13.57,0.5,34.6,0.26%,3971,3/17/2011
SHIP,Seanergy Maritime Holdings Corp.,Services,Shipping,Greece,23.32,1.85,,,1.01,,7.52,9.72,,0.00%,0.91,105.40%,,15.40%,,-7.70%,106.30%,-25.90%,13.88,5.55,1.96%,,0.60%,-2.35%,0.03%,0.11,14.80%,-10.80%,43.70%,0.4,0.4,,,18.20%,-12.60%,47.20%,19.15%,14.29%,21.74%,-4.55%,24.44%,-16.42%,2.42,0.11,8.72%,7.60%,11.61%,10.34%,6.97%,-12.90%,25.58%,-37.69%,102.50%,61.46,-0.61%,-2.98%,1,17.21,2.89,1.62,-3.57%,29351,9/25/2013 8:30
SHLD,Sears Holdings Corporation,Services,Department Stores,USA,3440.05,,,,0.1,6.7,4.15,,,,-17.58,-46.60%,-2.00%,-10.96%,,-5.00%,-206.30%,-9.70%,106.47,76.81,24.30%,5.08%,77.90%,0.48%,19.65%,18.59,-10.40%,-144.30%,-17.90%,1,0.2,5.5,8.41,23.00%,-4.80%,-5.40%,-6.81%,-14.27%,-19.57%,-9.95%,-11.09%,-18.70%,2.56,1.31,3.82%,3.57%,-6.37%,-11.62%,-12.57%,-22.14%,2.88%,-39.53%,24.23%,37.78,1.64%,0.71%,4,811.94,0.94,33.08,2.37%,448785,8/21/2014
SHLM,"A. Schulman, Inc.",Basic Materials,Chemicals - Major Diversified,USA,1140.65,30.99,14.33,1.78,0.48,2.06,10.29,90.53,2.05%,59.80%,1.26,-36.00%,16.50%,-0.20%,17.40%,1.50%,91.20%,17.70%,29.21,28.67,1.00%,-9.03%,87.00%,1.01%,2.05%,3.65,2.80%,7.20%,6.00%,2,1.2,0.53,0.57,13.50%,3.90%,1.60%,-2.23%,-3.22%,11.51%,13.65%,45.49%,12.57%,1.41,0.72,1.88%,1.69%,-1.69%,-2.54%,8.82%,-8.05%,5.86%,-8.05%,47.21%,37.32,0.12%,-0.03%,2.8,161.17,0.49,39.09,0.10%,46227,7/1/2014 16:30
SHLO,Shiloh Industries Inc.,Industrial Goods,Metal Fabrication,USA,285.18,11.44,,,0.37,1.96,129.63,26.65,,0.00%,1.45,58.80%,,25.40%,,6.60%,9.30%,14.80%,17.19,6.6,0.20%,109.89%,32.30%,-1.10%,3.45%,5.62,6.60%,18.70%,9.60%,1.5,1,0.82,0.82,10.20%,4.70%,3.20%,-2.93%,-3.66%,-7.58%,-7.68%,36.10%,-14.92%,0.97,0.43,2.70%,2.53%,9.56%,4.92%,0.02%,-5.98%,13.11%,-27.47%,56.96%,64.91,2.11%,8.50%,3,40.52,4.78,18.38,10.79%,114523,8/25/2014
SHM,SPDR Nuveen Barclays Capital S/T Muni Bd,Financial,Exchange Traded Fund,USA,,,,,,,,,0.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12%,0.21%,0.54%,0.33%,2.99%,1.16%,,0.04,0.19%,0.15%,0.03%,0.20%,0.64%,-0.25%,0.66%,-0.25%,2.91%,52.69,0.00%,-0.12%,,488.12,0.59,24.39,-0.12%,169416,
